role,ratio_A,ratio_B,margin,winner,n_A,n_B
joint,1.0700103964595595,1.054585375476376,0.015425020983183435,B,70,71
empty,1.0750087894544658,1.0484437928659924,0.026564996588473333,B,18,18
random,1.067390196752587,1.0529726289622472,0.014417567790339758,B,18,18
maze,1.0559577763842016,1.0448707586645876,0.011087017719614067,B,18,18
room,1.0687984600956015,1.0528946794605876,0.015903780635013964,B,17,17
